Source;Target;Weight;Type;Category
1776281158942720815;35;69988.7419703873;"undirected";u2l_1
1936021990146048136;36;69988.7419703873;"undirected";u2l_1
2031557866946560241;37;69988.7419703873;"undirected";u2l_1
2003196352397312836;38;69988.7419703873;"undirected";u2l_1
2217537081180160682;39;69988.7419703873;"undirected";u2l_1
2072553497559040150;40;69988.7419703873;"undirected";u2l_1
2046080376111104039;41;69988.7419703873;"undirected";u2l_1
2263156571242496025;42;69988.7419703873;"undirected";u2l_1
1487985010802689004;43;69988.7419703873;"undirected";u2l_1
2129205408038912310;44;69988.7419703873;"undirected";u2l_1
2020512913948672239;45;69988.7419703873;"undirected";u2l_1
2032049506484224391;46;69988.7419703873;"undirected";u2l_1
2583185162502144032;47;69988.7419703873;"undirected";u2l_1
2348663674241024648;48;69988.7419703873;"undirected";u2l_1
2166975778258944072;49;69988.7419703873;"undirected";u2l_1
2259156304134144174;50;69988.7419703873;"undirected";u2l_1
2061972124205056511;51;69988.7419703873;"undirected";u2l_1
2297449687285760349;52;69988.7419703873;"undirected";u2l_1
2373647004073984998;53;69988.7419703873;"undirected";u2l_1
1614609949655040407;54;69988.7419703873;"undirected";u2l_1
2058883723952128208;55;69988.7419703873;"undirected";u2l_1
2057609276293120977;56;69988.7419703873;"undirected";u2l_1
2026290701926400189;57;69988.7419703873;"undirected";u2l_1
2084587056398336805;58;69988.7419703873;"undirected";u2l_1
2270044113338368738;29;69988.7419703873;"undirected";u2l_1
2166911034982400012;59;69988.7419703873;"undirected";u2l_1
2130619249197056109;60;69988.7419703873;"undirected";u2l_1
2304694483419136266;61;69988.7419703873;"undirected";u2l_1
2212558610104320965;62;69988.7419703873;"undirected";u2l_1
2043043960061952555;63;69988.7419703873;"undirected";u2l_1
2075407595601920928;64;69988.7419703873;"undirected";u2l_1
1546423367630848335;65;69988.7419703873;"undirected";u2l_1
2265480911912960640;66;69988.7419703873;"undirected";u2l_1
1913430395060224575;67;1188.4250919306348;"undirected";u2l_2
2444475779514368256;67;1188.4250919306348;"undirected";u2l_2
2497552129720320204;68;1188.4250919306348;"undirected";u2l_2
2102710467821568418;68;1188.4250919306348;"undirected";u2l_2
1934378737336320777;69;1188.4250919306348;"undirected";u2l_2
1923750001901568560;69;1188.4250919306348;"undirected";u2l_2
1451518196711424512;70;17989.098332504735;"undirected";u2l_2
1871454245224448839;70;1188.4250919306348;"undirected";u2l_2
2288709034573824358;70;1188.4250919306348;"undirected";u2l_2
1882365081157632951;70;17989.098332504735;"undirected";u2l_2
2001997284769792352;70;1188.4250919306348;"undirected";u2l_2
